"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2017-02-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-02-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","31","1","Good"
"2017-02-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-02-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","42","1","Good"
"2017-02-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2017-02-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2017-02-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-02-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","36","1","Good"
"2017-02-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2017-02-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2017-02-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2017-02-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2017-02-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-02-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2017-02-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-02-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2017-02-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-02-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","58","2","Moderate"
"2017-02-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2017-02-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2017-02-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2017-02-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2017-02-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2017-02-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","19","1","Good"
"2017-02-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2017-02-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","22","1","Good"
"2017-02-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
