"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2011-01-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","99","2","Moderate"
"2011-01-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2011-01-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2011-01-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2011-01-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","37","1","Good"
"2011-01-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2011-01-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","46","1","Good"
"2011-01-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2011-01-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","50","1","Good"
"2011-01-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","64","2","Moderate"
"2011-01-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","51","2","Moderate"
"2011-01-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2011-01-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","49","1","Good"
"2011-01-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2011-01-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2011-01-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2011-01-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","62","2","Moderate"
"2011-01-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2011-01-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","71","2","Moderate"
"2011-01-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2011-01-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","45","1","Good"
"2011-01-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","39","1","Good"
"2011-01-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","31","1","Good"
"2011-01-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2011-01-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","38","1","Good"
"2011-01-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2011-01-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2011-01-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","27","1","Good"
"2011-01-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","63","2","Moderate"
"2011-01-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2011-01-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","62","2","Moderate"
"2011-01-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2011-01-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","58","2","Moderate"
"2011-01-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2011-01-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","46","1","Good"
"2011-01-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","52","2","Moderate"
"2011-01-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2011-01-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2011-01-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2011-01-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2011-01-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","69","2","Moderate"
"2011-01-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","32","1","Good"
"2011-01-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","83","2","Moderate"
"2011-01-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","30","1","Good"
"2011-01-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","94","2","Moderate"
"2011-01-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","33","1","Good"
"2011-01-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","53","2","Moderate"
"2011-01-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2011-01-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","74","2","Moderate"
"2011-01-29 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2011-01-29 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
