"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-02-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2014-02-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","67","2","Moderate"
"2014-02-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-02-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2014-02-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-02-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","41","1","Good"
"2014-02-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-02-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","57","2","Moderate"
"2014-02-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-02-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","66","2","Moderate"
"2014-02-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2014-02-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","100","2","Moderate"
"2014-02-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-02-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","66","2","Moderate"
"2014-02-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-02-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","84","2","Moderate"
"2014-02-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","34","1","Good"
"2014-02-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","83","2","Moderate"
"2014-02-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","32","1","Good"
"2014-02-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2014-02-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-02-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2014-02-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-02-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","64","2","Moderate"
"2014-02-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2014-02-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","61","2","Moderate"
"2014-02-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-02-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","59","2","Moderate"
"2014-02-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-02-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","43","1","Good"
"2014-02-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2014-02-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","56","2","Moderate"
"2014-02-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-02-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","43","1","Good"
"2014-02-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2014-02-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-02-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
